Job Post,Company,Skills,Ratings,Reviews,Experience,Salary,Location,Job_Post_History,URL
AEM Developer,Capgemini,"Hibernate,JSP,Javascript,PHP,HTML,Servlets,AEM,Apache Felix",3.9,(22733 Reviews),4-6 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-aem-developer-capgemini-technology-services-india-limited-mumbai-4-to-6-years-290822902597
V Developer,Capgemini,"CMS,Control-M,Scheduling,Management,Financial services,VMX,FAS,TRAMS",3.9,(22733 Reviews),6-9 Yrs,Not disclosed,Pune,1 Day Ago,https://www.naukri.com/job-listings-v-developer-capgemini-technology-services-india-limited-pune-6-to-9-years-290822902593
V Developer,Capgemini,"CMS,Control-M,FAS,Scheduling,Financial services,VMX,TRAMS,Communication",3.9,(22733 Reviews),4-8 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-v-developer-capgemini-technology-services-india-limited-bangalore-bengaluru-4-to-8-years-290822902591
Dellboomi,Capgemini,"XML,Cloud,boomi,JSON,HTTP,groovy scripting,SFTP,AS2",3.9,(22733 Reviews),6-9 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-dellboomi-capgemini-technology-services-india-limited-mumbai-6-to-9-years-290822902590
AWS Engineer with Windows,Capgemini,"Automation,Networking,Linux,Virtualization,Monitoring,ANT,Multi Cloud Management,Ansible",3.9,(22733 Reviews),6-9 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-aws-engineer-with-windows-capgemini-technology-services-india-limited-bangalore-bengaluru-6-to-9-years-290822902587
SOC Manager,Capgemini,"cyber security,SOC,splunk,infrastructure services,Monitoring,Splunk Sentinel,written,verbal communication",3.9,(22733 Reviews),9-12 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-soc-manager-capgemini-technology-services-india-limited-bangalore-bengaluru-9-to-12-years-290822902585
UDB/DB2 Administrator,Capgemini,"Unix,Aix,Linux,Database administration,Perl,DB2 LUW v9 / v10 / v11 database,analysis,Partitioning",3.9,(22733 Reviews),2-4 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-udb-db2-administrator-capgemini-technology-services-india-limited-mumbai-2-to-4-years-290822902582
Project Manager,Beyond Root Technology Services,"Project Manager,Project Management,Project Implementation,Backend Architecture",2.4,(4 Reviews),4-7 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR, Others",1 Day Ago,https://www.naukri.com/job-listings-project-manager-beyond-root-technology-services-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-others-4-to-7-years-290822902472
Need MIS Coordinator For Jaipur 20K Net (Off roll) Male,TeamLease,"mis,Advanced Excel",4.0,(1743 Reviews),2-5 Yrs,"2,00,000 - 2,50,000 PA.",Jaipur,6 Days Ago,https://www.naukri.com/job-listings-need-mis-coordinator-for-jaipur-20k-net-off-roll-male-teamlease-services-ltd-jaipur-2-to-5-years-240822000506
Principal Security Engineer (DLP and CASB),Dun & Bradstreet,"Networking,Information security,Active directory,Network security,Risk management,Cism,Cisa,data security",3.9,(185 Reviews),7-10 Yrs,Not disclosed,Hyderabad/Secunderabad,7 Days Ago,https://www.naukri.com/job-listings-principal-security-engineer-dlp-and-casb-dun-bradstreet-information-services-india-private-limited-hyderabad-secunderabad-7-to-10-years-230822902785
Senior Technical Architect,PUMA ENERGY PROCESSING SERVICES LLP ,"Architect,Architecture,Enterprise architecture,Cloud,Enterprise application integration,Monitoring,Senior Technical Architect",3.5,(31 Reviews),10-14 Yrs,Not disclosed,Mumbai,7 Days Ago,https://www.naukri.com/job-listings-senior-technical-architect-puma-energy-processing-services-llp-mumbai-10-to-14-years-230822501561
Lead - Software Development,Sutherland Global Services Inc,"Automation,MS SQL,Production support,Coding,Healthcare,JSON,Windows,MVC",3.9,(4972 Reviews),2-7 Yrs,Not disclosed,Hyderabad/Secunderabad,7 Days Ago,https://www.naukri.com/job-listings-lead-software-development-sutherland-global-services-inc-hyderabad-secunderabad-2-to-7-years-230822500259
Designer,Satven,"catia,sheet metal,biw,plastic,exterior,trims,powertrain",3.2,(29 Reviews),2-7 Yrs,"2,00,000 - 7,00,000 PA.",Chennai,7 Days Ago,https://www.naukri.com/job-listings-designer-satyam-venture-engineering-services-pvt-ltd-chennai-2-to-7-years-230822011975
Urgently Looking For Assistant Sales Manager Profile - @ Vashi & Thane,Home Bazaar Services,"Sales,Hospitality,Automobile,Hospitality Sales,Direct Sales,Property sales,Insurance Sales,Channel Sales",3.9,(31 Reviews),1-6 Yrs,"2,00,000 - 6,00,000 PA.","Thane, Navi Mumbai",7 Days Ago,https://www.naukri.com/job-listings-urgently-looking-for-assistant-sales-manager-profile-vashi-thane-home-bazaar-services-private-limited-thane-navi-mumbai-1-to-6-years-230822011838
EAS Engineer,First American (India) Pvt Ltd,"Core Java,LDAP,Weblogic,Active directory,XSLT,Oracle,microsoft,Information technology",4.0,(1279 Reviews),3-8 Yrs,Not disclosed,Bangalore/Bengaluru,13 Days Ago,https://www.naukri.com/job-listings-eas-engineer-first-american-india-pvt-ltd-bangalore-bengaluru-3-to-8-years-160822503291
Associate Consultant - Ceded Re-Technical Operations,AXA Technology Services India Pvt. Ltd,"Reinsurance,Interpersonal skills,Technical operations,Excel,Accounting,Analytical,Documentum,Asap",4.4,(4 Reviews),1-6 Yrs,Not disclosed,Gurgaon/Gurugram,13 Days Ago,https://www.naukri.com/job-listings-associate-consultant-ceded-re-technical-operations-axa-technology-services-india-pvt-ltd-gurgaon-gurugram-1-to-6-years-160822503160
Assistant Manager- Reporting Analyst,AXA Technology Services India Pvt. Ltd,"Service delivery,MS Office suite,Coo,Reinsurance,Reporting Analyst,management,Scheduling,Powerpoint",4.4,(4 Reviews),3-5 Yrs,Not disclosed,Gurgaon/Gurugram,13 Days Ago,https://www.naukri.com/job-listings-assistant-manager-reporting-analyst-axa-technology-services-india-pvt-ltd-gurgaon-gurugram-3-to-5-years-160822503159
